estacion,patinetes_iniciales,slots
0,5,11
1,7,12
2,5,9
3,4,9
4,5,12
5,7,13
6,7,10
7,4,14
8,6,10
9,4,10
10,6,11
11,7,14
12,7,11
13,7,11
14,11,20
15,9,16
16,4,12
17,8,12
18,11,18
19,10,18
20,4,7
21,10,16
22,4,9
23,8,14
24,11,21
25,9,24
26,3,12
27,9,20
28,10,16
29,8,22
30,5,12
31,8,15
32,5,14
33,11,22
34,8,14
35,4,9
36,10,16
37,3,7
38,7,10
39,4,9
40,9,14
41,4,8
42,7,16
43,11,17
44,8,14
45,8,13
46,12,16
47,4,21
48,20,28
49,5,18
50,5,8
51,4,10
52,4,9
53,5,12
54,10,12
55,9,21
56,4,23
57,8,18
58,9,16
59,12,14
60,8,14
61,6,11
62,10,17
63,8,16
64,11,19
65,7,15
66,5,11
67,8,13
68,6,14
69,7,14
70,4,10
71,12,22
72,12,19
73,5,10
74,7,18
75,12,12
76,8,11
77,9,13
78,3,12
