estacion,patinetes_iniciales,slots
0,4,12
1,15,17
2,8,11
3,4,11
4,5,18
5,7,17
6,12,20
7,5,35
8,16,24
9,6,20
10,7,12
11,10,25
12,7,14
13,16,20
14,21,36
15,17,30
16,3,14
17,15,24
18,22,26
19,7,25
20,5,11
21,27,37
22,4,14
23,12,22
24,22,28
25,20,35
26,3,34
27,33,48
28,28,28
29,6,21
30,8,20
31,19,19
32,5,18
33,11,39
34,10,29
35,4,14
36,30,32
37,5,12
38,12,14
39,6,11
40,16,16
41,10,12
42,14,23
43,18,23
44,11,17
45,20,29
46,18,25
47,5,32
48,55,55
49,3,26
50,8,16
51,5,14
52,1,19
53,9,22
54,19,19
55,14,20
56,3,36
57,23,28
58,13,26
59,26,28
60,25,25
61,7,21
62,17,29
63,9,16
64,17,31
65,8,15
66,10,20
67,27,33
68,8,21
69,9,17
70,2,28
71,27,41
72,36,36
73,5,15
74,13,27
75,18,23
76,3,14
77,16,17
78,3,24
