estacion,patinetes_iniciales,slots,patinetes_finales
0,5,12,11
1,14,14,4
2,4,5,4
3,4,9,9
4,1,8,5
5,9,9,4
6,1,20,18
7,3,9,1
8,11,11,1
9,3,5,5
10,1,10,7
11,8,8,3
12,6,6,3
13,14,14,2
14,6,13,8
15,17,17,6
16,1,8,8
17,6,8,5
18,6,11,3
19,5,13,4
20,1,11,11
21,20,20,1
22,5,11,10
23,12,12,5
24,21,21,4
25,8,9,5
26,3,16,12
27,3,12,2
28,18,18,4
29,2,21,18
30,2,8,7
31,2,11,5
32,6,14,4
33,13,13,10
34,4,8,2
35,4,10,7
36,7,13,9
37,1,7,1
38,7,7,2
39,5,9,8
40,8,8,0
41,3,11,6
42,5,7,4
43,13,13,1
44,3,8,2
45,19,19,3
46,14,14,1
47,3,29,25
48,23,23,3
49,1,22,17
50,3,11,10
51,1,16,12
52,2,7,4
53,4,6,1
54,3,17,10
55,12,12,3
56,1,16,16
57,2,15,10
58,4,14,7
59,25,25,7
60,2,12,11
61,3,17,16
62,4,12,4
63,4,11,11
64,7,9,1
65,10,10,2
66,3,7,2
67,9,12,12
68,3,21,18
69,1,13,11
70,1,11,11
71,30,30,9
72,14,14,1
73,1,15,11
74,8,10,9
75,13,13,2
76,1,6,5
77,12,12,6
78,3,26,25
