,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,42,5,0,0,1,0,3,4,0,1,0,0,2,1,1,1,0,0,0,1,0,0,3,26,0,0,1,7,3,3,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,1,0,3,18,1,14,1,1,1,2,1,4,3,7,0,0,28,3,4,0,0,0,0,0,2,0,0,0,0,1,0
1,7,68,0,0,0,0,23,19,33,13,0,0,2,1,0,1,0,0,45,17,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,10,17,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,6
2,0,0,53,31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
3,0,0,31,80,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
4,1,1,0,0,75,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,53,0,0,0,0,0,0,0,0,0,14,30,0,1,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,103,0,0,0,0,4,0,0,0,2,2,0,0,0,0,7,51,0,0,5,4,6,1,0,0,1,12,10,0,0,0,0,0,0,0,0,3,8,18,0,0,0,0,0,0,1,0,0,1,1,6,2,2,11,0,0,1,15,5,3,0,1,26,5,3,1,3,1,2,1,0,0,0,0
6,2,10,0,0,2,0,88,38,17,4,1,0,0,0,0,0,0,3,5,0,0,0,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,3,0,1,0,4,2,0,0,0,0,4,9,2,3,5,0,5,5,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,4,8,0,0,8,0,25,57,25,2,0,0,0,0,0,0,0,2,3,1,0,0,4,1,0,0,0,1,1,0,0,0,0,2,0,2,1,0,0,19,4,0,0,0,1,0,0,0,0,0,25,21,3,10,0,1,1,3,2,0,0,0,0,0,11,0,1,0,0,0,0,1,1,0,0,0,0,0,0
8,0,32,0,0,0,0,24,16,93,43,0,0,0,0,0,0,0,2,18,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,9,16,0,0,2,0,0,0,0,8,3,0,0,0,0,0,1,1,0,2,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,10
9,0,21,0,0,0,0,7,0,33,106,1,0,0,0,1,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1
