Origen,Destino,Distancia_km,Desnivel,Consumo_Wh
0.0,1.0,6.3949,-34.0,82.93114999999999
0.0,2.0,5.45,-30.0,70.575
0.0,3.0,4.831300000000001,1.0,65.32255
0.0,4.0,3.8644000000000003,18.0,53.9694
0.0,5.0,4.648899999999999,-14.0,61.36014999999999
0.0,6.0,2.946,6.0,40.371
0.0,7.0,6.6661,28.0,92.79235
0.0,8.0,1.5407,10.0,21.79945
0.0,9.0,7.8783,-25.0,103.85705
0.0,10.0,9.067200000000001,-25.0,119.90720000000002
0.0,11.0,8.894200000000001,-10.0,119.07170000000002
0.0,12.0,8.6132,-13.0,114.97820000000002
0.0,13.0,9.154,-10.0,122.579
0.0,14.0,10.3933,-18.0,138.50955
0.0,15.0,7.097899999999999,-2.0,95.62164999999999
0.0,16.0,6.3975,-1.0,86.26625
0.0,17.0,5.9821,-24.0,78.35834999999999
0.0,18.0,4.6753,-24.0,60.716550000000005
0.0,19.0,7.1943,-8.0,96.32305000000001
0.0,20.0,6.1995,23.0,85.99324999999999
0.0,21.0,7.7646999999999995,-25.0,102.32345
0.0,22.0,10.0558,-27.0,133.0533
0.0,23.0,10.61,12.0,144.43499999999997
0.0,24.0,1.4273,11.0,20.368550000000003
0.0,25.0,5.1055,15.0,70.42425
0.0,26.0,4.443,22.0,62.180499999999995
0.0,27.0,5.39,-6.0,72.165
0.0,28.0,5.5981000000000005,-10.0,74.57435000000001
0.0,29.0,2.0965,4.0,28.702749999999995
0.0,30.0,3.7432,-26.0,47.9332
0.0,31.0,2.7676,-9.0,36.4626
0.0,32.0,2.8527,18.0,40.31145
0.0,33.0,6.7258000000000004,19.0,92.69830000000002
0.0,34.0,3.4418,-23.0,44.164300000000004
0.0,35.0,3.9914,-8.0,53.08390000000001
0.0,36.0,4.5873,-11.0,60.82855
0.0,37.0,6.6582,-8.0,89.0857
0.0,38.0,9.348,4.0,126.59800000000001
0.0,39.0,7.5104,-10.0,100.3904
1.0,0.0,6.249,34.0,87.7615
1.0,2.0,8.107899999999999,4.0,109.85664999999999
1.0,3.0,4.9583,35.0,70.43705
1.0,4.0,4.5168,52.0,66.1768
1.0,5.0,4.301699999999999,20.0,60.07294999999999
1.0,6.0,4.799300000000001,40.0,68.79055000000001
1.0,7.0,5.2366,62.0,76.89410000000001
1.0,8.0,6.4561,44.0,91.55735000000001
1.0,9.0,1.9384000000000001,9.0,27.0684
1.0,10.0,3.0582,9.0,42.1857
1.0,11.0,10.9338,24.0,150.0063
1.0,12.0,10.913799999999998,21.0,149.43629999999996
1.0,13.0,11.9171,24.0,163.28085
1.0,14.0,12.4329,16.0,169.44415
1.0,15.0,5.8262,32.0,81.8537
1.0,16.0,5.1013,33.0,72.16755
1.0,17.0,7.0793,10.0,96.57055
1.0,18.0,5.897600000000001,10.0,80.61760000000001
1.0,19.0,2.569,26.0,37.2815
1.0,20.0,3.7803,57.0,56.73405
1.0,21.0,1.9195,9.0,26.81325
1.0,22.0,4.2491,7.0,58.062850000000005
1.0,23.0,5.1273,46.0,73.81854999999999
1.0,24.0,7.3145,45.0,103.24575
1.0,25.0,3.9488000000000003,49.0,58.208800000000004
1.0,26.0,2.9619,56.0,45.58565
